Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Alles geht vorbei","Dominik Hartz","Alles geht vorbei","Deutsch","Playlist","DEVU52613531","11dp8iVSOqdIk9q7PsZ49U"
"Schmetterlinge","NIEMALS","Schmetterlinge","Deutsch","Playlist","DEZC62343092","16rdODL2nfDpz4Zfu7R5b4"
"Das Krokodil","AnnenMayKantereit","Alles nix konkretes","Deutsch","Playlist","DEUM71504291","3QTs7LJgjsi6w3I0eoL31G"
"lila/grün","rosmarin","lila/grün","Deutsch","Playlist","DEQ322400029","4R7Ztk3IK5vKaLpNsffhlk"
"Rimini","ENNIO","rimini tape","Deutsch","Playlist","QM4TX2371266","2JNIWfyUG8AXC2staqyay5"
"Nichts mehr (mit ENNIO)","KITSCHKRIEG","Nichts mehr (mit ENNIO)","Deutsch","Playlist","DEKF22600135","38BySzRkktFSQp82WkzgrZ"
"Wand","Das Lumpenpack","Bevor der Mut dich verlässt","Deutsch","Playlist","DEC162500919","2k249MFYpCZozfCEKmTvmK"
"Boys","Das Lumpenpack","Bevor der Mut dich verlässt","Deutsch","Playlist","DEC162500701","0rNpQgCbTUmvsrjmMYJy6S"
"Kraft der Musik","Das Lumpenpack","Bevor der Mut dich verlässt","Deutsch","Playlist","DEC162500921","66iCBsnNLsMuSvLUDWuxjC"
"Mach mal Platz","Das Lumpenpack","Bevor der Mut dich verlässt","Deutsch","Playlist","DEC162500922","3zraAPc1PQsAVs72xlGx8w"
"Wind","Das Lumpenpack","Bevor der Mut dich verlässt","Deutsch","Playlist","DEC162500923","7AVggHj9wLRVSO2IDKa3Dc"
"Moje Sve","Hava","Moje Sve","Deutsch","Playlist","DEKF22100893","1LBWVVGfTCr8EYNSd92W81"
"Beautiful Girl","Luciano","Beautiful Girl","Deutsch","Playlist","DECE72201083","2XRn6Qu0Wd1KvOND8JbaTx"
"Bamba (feat. Aitch & BIA)","Luciano","Bamba (feat. Aitch & BIA)","Deutsch","Playlist","DECE72202389","7nFJSfGvvV0WjatTZN6QYi"
"West Connect (feat. Central Cee)","Luciano","West Connect (feat. Central Cee)","Deutsch","Playlist","DECE72202386","4OGb9JY7pPEElDGwulYOBB"
"Au Revoir","Milano","Sag mir","Deutsch","Playlist","DECE72203630","23ExvFSDM4Hte2ttH4Z1CW"
"Frau aus dem Libanon","Mudi","Hayat","Deutsch","Playlist","DEUM71600045","3Ca72x9BRjHI716aKQF8tw"
