Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Morado","J Balvin","Morado","Learn Spanish","Playlist","USUM71924691","3mQ6SLdxxaL52Yte7KF2Ks"
"La Romana","Bad Bunny","X 100PRE","Learn Spanish","Playlist","QM7281884731","1khmgu0pveJbkbpbkyvcQv"
"No Vuelvas Más","Darell","No Vuelvas Más","Learn Spanish","Playlist","USSD11900403","0mcBgVRVsvESTkEyVHt7Ue"
"Hola Señorita","GIMS","Hola Señorita","Learn Spanish","Playlist","FR8FB1901430","71MEWIf4Itr8Pd9OW5Mq7q"
"Blanco","J Balvin","Colores","Learn Spanish","Playlist","USUM71922372","5pXy29xzxR3aTB0SYRI590"
"Don´t Come Back","Danna Voice","Don´t Come Back","Learn Spanish","Playlist","ART0G2001592","6eH7Ka4mAhseIYHbSouTRY"
"New","MLM","New","Learn Spanish","Playlist","TCAEJ1942823","1QmLuIIj6j8nJWhhpCv04w"
"Hawái","Maluma","PAPI JUANCHO","Learn Spanish","Playlist","USSD12000190","1yoMvmasuxZfqHEipJhRbp"
"BICHOTA","KAROL G","Reguetón Sólido","Learn Spanish","Playlist","USUM72019324","7AESVKeHpNr2KrPUKbsbat"
"Downtown","Anitta","Downtown","Learn Spanish","Playlist","BRWMB0700761","3Ga6eKrUFf12ouh9Yw3v2D"
"Te Boté (versión bolero)","Los Rivera Destino","Te Boté (versión bolero)","Learn Spanish","Playlist","QMPKX1886648","1D1YNQgrvte4jgJVUUAOsx"
"XOXA - Premium","Farruko","XOXA (Premium)","Learn Spanish","Playlist","USSD12100001","2K1mqI6DBj5qv83oif1Zj5"
"Diplomatico","Major Lazer","Diplomatico (feat. Guaynaa)","Learn Spanish","Playlist","QMUY42100007","7a94Ov4vCVJFWkMQQSIFHU"
"Singapur","El Alfa","El Androide","Learn Spanish","Playlist","USDY42003198","4QfZYDhGZc0T2RDvGiI69E"
"Ropa Cara","Camilo","Mis Manos","Learn Spanish","Playlist","USSD12000609","2zY1iTaEgs8ROkkWtWLe7l"
"Travesuras","Flow La Movie","Travesuras","Learn Spanish","Playlist","QMFME2016782","2etJ67Egf7woMgOikVrlJM"
"Vitamina Q (feat. Justin Quiles & Lirico En La Casa)","BCA","Vitamina Q (feat. Justin Quiles & Lirico En La Casa)","Learn Spanish","Playlist","USWL12100318","5PhabK1aFpmmfV2Va6tzGP"
"Mama Tetema (feat. Rayvanny)","Maluma","Mama Tetema (feat. Rayvanny)","Learn Spanish","Playlist","USSD12100767","0nuTnOboL7Zaaqm76CQHEk"
"PAKATA","Darell","PAKATA","Learn Spanish","Playlist","USSD12100551","59rRvUjxSrKnimSsg678f9"
"GALAPIN","El Alfa","GALAPIN","Learn Spanish","Playlist","QM4TX2227949","29EmyYlu6tRW51iY7AvGNT"
"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","La Pantera","Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","Learn Spanish","Playlist","ES5152101308","0Bv7O6fmZk3GrNQFYJaXPn"
"Tití Me Preguntó","Bad Bunny","Un Verano Sin Ti","Learn Spanish","Playlist","QM6MZ2214878","1IHWl5LamUGEuP4ozKQSXZ"
"Agua Salada","Marc Seguí","Agua Salada","Learn Spanish","Playlist","ES5152200711","22QO6gby3fhNRkNVAFxp5v"
"Todo De Ti","Rauw Alejandro","VICE VERSA","Learn Spanish","Playlist","USSD12100202","3rdAz1fbUfZxYgaCviYhRo"
"Bellacon","El Alfa","Bellacon","Learn Spanish","Playlist","QMDA62200426","4Zj3K3UaUMC6ndSwl05Zyd"
"Jugaste y Sufrí","Eslabon Armado","Corta Venas","Learn Spanish","Playlist","USE7D2000268","3NqBxTOMCJ3zW9CIP51td4"
"Vacilón - Remix","BM Legacy","Vacilón (Remix)","Learn Spanish","Playlist","QZW9M2282663","0nrH2kX7vKIIIEGDZOhVFo"
"PA' ROMPERLA","Bad Bunny","LAS QUE NO IBAN A SALIR","Learn Spanish","Playlist","QM6N22010809","5XqCz18k96K8tx6DAYM97i"
"No Smoking","Shelow Shaq","No Smoking","Learn Spanish","Playlist","GBRKQ2220629","4iKOxLji5LlmjkdbXHmMhB"
"Águila del Monte","Martina Camargo","Paisaje en Tambora","Learn Spanish","Playlist","FRX201627319","1Z8TJqKFu3ACgAAEyieDua"
