Name,Artist,Total_Matches,Found_Words,Matched_Lines,Link
The Real Slim Shady,Eminem,5,"fuck, fuck, fuck, fuck, fuck","[fuck] Well, I do, so fuck him, and fuck you too | [fuck] Who cuss like me, who just don't give a fuck like me | [fuck] Or in the parkin' lot, circling, screaming, ""I don't give a fuck!"" | [fuck] Fuck it, let's all stand up",https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
Highway to Hell,AC/DC,20,"hell, hell, hell, hell, hell, hell, hell, hell, hell, hell, hell, hell, hell, hell, hell, hell, hell, hell, hell, hell",[hell] I'm on the highway to Hell | [hell] On the highway to Hell | [hell] Highway to Hell | [hell] I'm on the highway to Hell | [hell] I'm on the highway to Hell | [hell] Highway to Hell | [hell] I'm on the highway to Hell | [hell] Highway to Hell | [hell] I'm on the highway to Hell | [hell] On the highway to Hell | [hell] I'm on the highway to Hell | [hell] On the highway to Hell | [hell] (Highway to Hell) I'm on the highway to Hell | [hell] (Highway to Hell) Highway to Hell | [hell] (Highway to Hell) I'm on the highway to Hell | [hell] (Highway to Hell) | [hell] I'm on the highway to Hell,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s
Bad Romance,Lady Gaga,5,"bitch, bitch, bitch, bitch, bitch","[bitch] And you know that I need you ('Cause I'm a free bitch, baby) | [bitch] Work it, move that bitch crazy | [bitch] Work it, move that bitch crazy | [bitch] Work it, move that bitch crazy | [bitch] Work it, I'm a free bitch, baby",https://open.spotify.com/track/1CZOrmHUUjeDP7N2B4Ba6S
Highway to Hell,AC/DC,20,"hell, hell, hell, hell, hell, hell, hell, hell, hell, hell, hell, hell, hell, hell, hell, hell, hell, hell, hell, hell",[hell] I'm on the highway to Hell | [hell] On the highway to Hell | [hell] Highway to Hell | [hell] I'm on the highway to Hell | [hell] I'm on the highway to Hell | [hell] Highway to Hell | [hell] I'm on the highway to Hell | [hell] Highway to Hell | [hell] I'm on the highway to Hell | [hell] On the highway to Hell | [hell] I'm on the highway to Hell | [hell] On the highway to Hell | [hell] (Highway to Hell) I'm on the highway to Hell | [hell] (Highway to Hell) Highway to Hell | [hell] (Highway to Hell) I'm on the highway to Hell | [hell] (Highway to Hell) | [hell] I'm on the highway to Hell,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s
Pump It,Black Eyed Peas,10,"damn, damn, damn, damn, damn, damn, damn, damn, damn, damn","[damn] Damn, damn | [damn] Damn, damn | [damn] Damn, damn (Ooh, woah) | [damn] Damn, damn | [damn] Damn, damn (Ah-ah-ah-ah-ah)",https://open.spotify.com/track/2ygMBIctKIAfbEBcT9065L
Teenagers,My Chemical Romance,5,"shit, shit, shit, shit, shit","[shit] They said, ""All teenagers scare the living shit out of me | [shit] They said, ""All teenagers scare the living shit out of me | [shit] They said, ""All teenagers scare the living shit out of me | [shit] ""Teenagers scare the living shit out of me | [shit] ""Teenagers scare the living shit out of me",https://open.spotify.com/track/7j31rVgGX9Q2blT92VBEA0
