Name,Artist,Total_Matches,Found_Words,Matched_Lines,Link
September,"Earth, Wind & Fire",7,"september, september, september, september, september, september, september",[september] The twenty-first night of September? | [september] Dancin' in September | [september] Found a love we shared in September | [september] Dancin' in September | [september] Dancin' in September | [september] Dancin' in September | [september] Dancin' in September,https://open.spotify.com/track/3kXoKlD84c6OmIcOLfrfEs
Wake Me up When September Ends,Green Day,10,"september, september, september, september, september, september, september, september, september, september",[september] Wake me up when September ends | [september] Wake me up when September ends | [september] Wake me up when September ends | [september] Wake me up when September ends | [september] Wake me up when September ends | [september] Wake me up when September ends | [september] Wake me up when September ends | [september] Wake me up when September ends | [september] Wake me up when September ends | [september] Wake me up when September ends,https://open.spotify.com/track/3ZffCQKLFLUvYM59XKLbVm
September,"Earth, Wind & Fire",7,"september, september, september, september, september, september, september",[september] The twenty-first night of September? | [september] Dancin' in September | [september] Found a love we shared in September | [september] Dancin' in September | [september] Dancin' in September | [september] Dancin' in September | [september] Dancin' in September,https://open.spotify.com/track/2grjqo0Frpf2okIBiifQKs
September,"Earth, Wind & Fire",7,"september, september, september, september, september, september, september",[september] The twenty-first night of September? | [september] Dancin' in September | [september] Found a love we shared in September | [september] Dancin' in September | [september] Dancin' in September | [september] Dancin' in September | [september] Dancin' in September,https://open.spotify.com/track/1mqlc0vEP9mU1kZgTi6LIQ
