Name,Artist,Total_Matches,Found_Words,Matched_Lines,Link
Mr. Blue Sky,Electric Light Orchestra,15,"blue, blue, blue, blue, blue, blue, blue, blue, blue, blue, blue, blue, blue, blue, blue","[blue] Morning! Today's forecast calls for blue skies | [blue] Mr. Blue Sky is living here today | [blue] Mr. Blue Sky | [blue] Mr. Blue Sky | [blue] Mr. Blue Sky's up there waitin' | [blue] Oh, Mr. Blue Sky | [blue] Hey there, Mr. Blue | [blue] Hey there, Mr. Blue | [blue] Mr. Blue Sky | [blue] Mr. Blue Sky | [blue] Mr. Blue Sky-y | [blue] Mr. Blue, you did it right | [blue] Mr. Blue Sky | [blue] Hey there, Mr. Blue (Sky) | [blue] Look around, see what you do (Blue)",https://open.spotify.com/track/2RlgNHKcydI9sayD2Df2xp
Paradise City,Guns N' Roses,13,"green, green, green, green, green, green, green, green, green, green, green, green, green",[green] Where the grass is green and the girls are pretty | [green] Where the grass is green and the girls are pretty | [green] Where the grass is green and the girls are pretty | [green] Where the grass is green and the girls are pretty | [green] Where the grass is green and the girls are pretty | [green] Where the grass is green and the girls are pretty | [green] Where the grass is green and the girls are pretty | [green] Where the grass is green and the girls are pretty | [green] Where the grass is green and the girls are pretty | [green] Where the grass is green and the girls are pretty | [green] Where the grass is green and the girls are pretty | [green] Where the grass is green and the girls are pretty | [green] Where the grass is green and the girls are pretty,https://open.spotify.com/track/3YBZIN3rekqsKxbJc9FZko
Karma Chameleon,Culture Club,24,"red, red, red, red, red, red, red, red, red, red, red, red, green, green, green, green, green, green, green, green, green, green, green, green","[red] Red, gold and green, red, gold and green | [red] Red, gold and green, red, gold and green | [red] Red, gold and green, red, gold and green | [red] Red gold and green, red gold and green | [red] Red, gold and green, red, gold and green | [red] Red, gold and green, red, gold and green | [green] Red, gold and green, red, gold and green | [green] Red, gold and green, red, gold and green | [green] Red, gold and green, red, gold and green | [green] Red gold and green, red gold and green | [green] Red, gold and green, red, gold and green | [green] Red, gold and green, red, gold and green",https://open.spotify.com/track/3XDeeP9wBZzGhIPZmLfEEx
Hot N Cold,Katy Perry,8,"black, black, black, black, white, white, white, white",[black] It's black and it's white | [black] It's black and it's white | [black] It's black and it's white | [black] It's black and it's white | [white] It's black and it's white | [white] It's black and it's white | [white] It's black and it's white | [white] It's black and it's white,https://open.spotify.com/track/0iGckQFyv6svOfAbAY9aWJ
Purple Rain,Prince,23,"purple, purple, purple, purple, purple, purple, purple, purple, purple, purple, purple, purple, purple, purple, purple, purple, purple, purple, purple, purple, purple, purple, purple","[purple] In the purple rain | [purple] Purple rain, purple rain | [purple] Purple rain, purple rain | [purple] Purple rain, purple rain | [purple] In the purple rain | [purple] Purple rain, purple rain | [purple] Purple rain, purple rain | [purple] Purple rain, purple rain | [purple] I only want to see you underneath the purple rain | [purple] And let me guide you to the purple rain | [purple] Purple rain, purple rain, yeah | [purple] Purple rain, purple rain, wooo! | [purple] Purple rain, purple rain, yeah | [purple] Only want to see you in the purple rain",https://open.spotify.com/track/54X78diSLoUDI3joC2bjMz
Pump It,Black Eyed Peas,9,"black, black, black, black, black, black, black, black, black","[black] [Verse 1: will.i.am & The Black Eyed Peas] | [black] [Chorus: The Black Eyed Peas & will.i.am] | [black] [Verse 2: will.i.am, Taboo & The Black Eyed Peas] | [black] B-L-A-C-K E-Y-E-D P to the E | [black] [Pre-Chorus: The Black Eyed Peas, will.i.am & Fergie] | [black] [Chorus: The Black Eyed Peas & will.i.am] | [black] [Verse 3: apl.de.ap, will.i.am & The Black Eyed Peas] | [black] [Verse 4: Fergie, Taboo & The Black Eyed Peas] | [black] [Chorus: The Black Eyed Peas & will.i.am]",https://open.spotify.com/track/2ygMBIctKIAfbEBcT9065L
Hot N Cold,Katy Perry,8,"black, black, black, black, white, white, white, white",[black] It's black and it's white | [black] It's black and it's white | [black] It's black and it's white | [black] It's black and it's white | [white] It's black and it's white | [white] It's black and it's white | [white] It's black and it's white | [white] It's black and it's white,https://open.spotify.com/track/1ulXmqjktxSdrdT1bzc69H
September,"Earth, Wind & Fire",6,"white, white, white, white, white, white","[white] As a joyful classic, the song has appeared in a variety of commercials and movies, and has even… Read More [Verse 1: Maurice White] | [white] [Post-Chorus: Philip Bailey & Maurice White] | [white] [Verse 2: Maurice White] | [white] [Chorus: Philip Bailey & Maurice White] | [white] [Bridge: Maurice White] | [white] [Outro: Philip Bailey & Maurice White]",https://open.spotify.com/track/2grjqo0Frpf2okIBiifQKs
Until I Found You,Stephen Sanchez,4,"brown, brown, brown, brown",[brown] [Chorus: Stephen Sanchez & Georgia Brown] | [brown] [Verse 2: Stephen Sanchez & Georgia Brown] | [brown] [Chorus: Stephen Sanchez & Georgia Brown] | [brown] [Chorus: Stephen Sanchez & Georgia Brown],https://open.spotify.com/track/0T5iIrXA4p5GsubkhuBIKV
Super Trouper,ABBA,5,"blue, blue, blue, blue, blue",[blue] But I won't feel blue | [blue] But I won't feel blue (Sup-p-per Troup-p-per) | [blue] But I won't feel blue (Sup-p-per Troup-p-per) | [blue] But I won't feel blue (Sup-p-per Troup-p-per) | [blue] But I won't feel blue (Sup-p-per Troup-p-per),https://open.spotify.com/track/0J2p4KYdr6Mg4ET6JPlbe1
