name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Gimme Gimme Gimme A Man After Midnight,ABBA,1,day,"night, midnight",Take me through the darkness to the break of the day,2TjNlK2tNBxF8C8RIaK9Gb
Girls Just Want to Have Fun,Cyndi Lauper,1,day,night,"When the workin' day is done | Oh, when the workin' day is done",4y1LsJpmMti1PfRQV9AWWe
Purple Rain,Prince,1,never,,"I never meant to cause you any sorrow | I never meant to cause you any pain | I never wanted to be your weekend lover | Baby, I could never steal you from another",54X78diSLoUDI3joC2bjMz
Sweet Caroline,Neil Diamond,1,never,"summer, spring, night",Good times never seemed so good | To believe they never would | I believe they never could,62AuGbAkt8Ox2IrFFb8GKV
Karma Police,Radiohead,1,minute,,"For a minute there | Phew, for a minute there | Oh, for a minute there",63OQupATfueTdZMWTxW03A
The Lazy Song,Bruno Mars,1,today,tomorrow,"'Cause today, I swear, I'm not doin' anything, uh | 'Cause today, I swear, I'm not doin' anything | Oh, today, I don't feel like doin' anything",386RUes7n1uM1yfzgeUuwp
Stolen Dance,Milky Chance,2,"night, never","winter, always","Dancin' on, doin' the boogie all night long | So that I never feel alone again | You've never danced like this before",34xGLuxM0rkxhCVyMSqwJO
Papa Was A Rollin Stone  Single Version,The Temptations,1,never,"day, always","I never got a chance to see him | That Papa never worked a day in his life? | Hey Mama, folks say that Papa never was much on thinking",5Azp9obTPbd5hAgMc6CWWd
Blame It on the Boogie,The Jacksons,1,night,always,"We spent the night in Frisco at every kinda disco | From that night, I kissed our love goodbye | All night long (Boogie) | Dancin' all night long (Boogie)",2JPhjahxid1Y6nv6keJ3q2
Billie Jean,Michael Jackson,1,always,soon,"People always told me, ""Be careful of what you do,"" uh | And mother always told me, ""Be careful of who you love | Just remember to always think twice (Don't think twice)",7J1uxwnxfQLu4APicE5Rnj
Wake Me up When September Ends,Green Day,1,never,"september, spring, day",The innocent can never last | But never forgets what I lost,3ZffCQKLFLUvYM59XKLbVm
Instant Crush Drumless Edition feat Julian Casablancas,Daft Punk,2,"day, never",summer,'Cause it doesn't happen every day | I thought of everything I'd never regret | One thing I never see the same when you're 'round | And we will never be alone again | But I never really know where to go | The summer memory that just never dies,2jmKcUO1mjqU4uypiDvpny
Instant Crush feat Julian Casablancas,Daft Punk,2,"day, never",summer,'Cause it doesn't happen every day | I thought of everything I'd never regret | One thing I never see the same when you're 'round | And we will never be alone again | But I never really know where to go | The summer memory that just never dies,2cGxRwrMyEAp8dEbuZaVv6
Your Woman,White Town,1,never,"yesterday, always, soon",I could never be the right kind of girl for you | I could never be your woman | She said she never liked you from the start | I could never spend my life with a man like you,3UBItNVbFQiVC5hBQlBvnr
DANCE,Justice,1,always,"day, night",You're always there for music and me,33yAEqzKXexYM3WlOYtTfQ
Nightcall,Kavinsky,1,night,,"I'm giving you a night call to tell you how I feel | (We'll go all, all, all night long) | I want to drive you through the night, down the hills",0U0ldCRmgCqhVvD6ksG63j
Hold the Line,TOTO,1,always,,"Love isn't always on time, oh, oh, oh | Love isn't always on time (Love isn't always on time) | Love isn't always on time (Love isn't always, love isn't always on time) | Love isn't always on time",4aVuWgvD0X63hcOCnZtNFA
Until I Found You,Stephen Sanchez,1,never,,"I'll never let you go again like I did | I would never fall in love again until I found her | I said I would never fall, unless it's you I fall into | I said I would never fall unless it's you I fall into",0T5iIrXA4p5GsubkhuBIKV
Wicked Game,Chris Isaak,1,never,,I never dreamed that I'd meet somebody like you | And I never dreamed that I'd lose somebody like you | You never felt this way | I never dreamed that I'd love somebody like you,7w5AOd6HrDIHewHfpABEss
Super Trouper,ABBA,1,always,"night, never, soon",Like I always do | Like I always do (Sup-p-per Troup-p-per),0J2p4KYdr6Mg4ET6JPlbe1
Smalltown Boy,Bronski Beat,1,never,"morning, always","Mother will never understand why you had to leave | But the answers you seek will never be found at home | The love that you need will never be found at home | But you never cried to them, just to your soul | No, you never cried to them, just to your soul",5vmRQ3zELMLUQPo2FLQ76x
I Gotta Feeling,Black Eyed Peas,1,night,day,"That tonight's gonna be a good night | That tonight's gonna be a good, good night | That tonight's gonna be a good, good night (I feel) | Tonight's the night, let's live it up | Tonight's the night (Hey), let's live it up (Let's live it up)",4kLLWz7srcuLKA7Et40PQR
Im Gonna Miss You,Milli Vanilli,2,"day, never",,And I never will forget the day we met,2dThEJP9S344qzNhePcSzj
Call Me,Blondie,2,"day, night",never,"You can call me any day or night, call me | Anytime, anyplace, anywhere, any day, any way | Call me, call me any day or night | Call me, ah-ha-ha, call me any day or night | Call me, all night, all day, ah-ha, call me",4qO03RMQm88DdpTJcxlglY
Mr Brightside,The Killers,1,never,,I never,003vvx7Niy0yvhvHt4a68B
High Hopes,Panic At The Disco,1,always,"day, never","Didn't have a dime, but I always had a vision | Didn't know how, but I always had a feeling",1rqqCSm0Qe4I9rUvWncaom
American Pie,Don McLean,1,day,"summer, night, never","The day the music died | Singin', ""This'll be the day that I die | This'll be the day that I die"" | And singin', ""This'll be the day that I die | The day the music died? | Singin', ""This'll be the day that I die""",2QgWuCtBpNIpl5trmKCxRf
Dont Stop Believin,Journey,1,night,"midnight, never","For a smile, they can share the night | Their shadows searchin' in the night | Hidin' somewhere in the night",4bHsxqR3GMrXTxEPLuK5ue
All That She Wants,Ace of Base,2,"day, tomorrow","morning, night","And the day had just begun | It's not a day for work | It's a day for catching tan | So, if you are in sight and the day is right | She's gone tomorrow, boy",6kWJvPfC4DgUpRsXKNa9z9
Levels  Radio Edit,Avicii,1,never,,"Get a feeling that I never, never, never, never had before, no no",5UqCQaDshqbIk3pkhy4Pjg
Dream On,Aerosmith,3,"year, today, tomorrow",dawn,"Sing with me, sing for the year | Yeah, sing with me, sing for the year | Sing it with me, if it's just for today | Maybe tomorrow, the good Lord will take you away",1xsYj84j7hUDDnTTerGWlH
Have You Ever Seen The Rain,Creedence Clearwater Revival,1,day,yesterday,It'll rain a sunny day | Comin' down on a sunny day,2LawezPeJhN4AWuSB0GtAU
Ironic,Alanis Morissette,1,day,,He won the lottery and died the next day | It's like rain on your weddin' day,29YBihzQOmat0U74k4ukdx
Dance with Somebody,Mando Diao,1,night,"summer, day",I'm gonna sing it all night long,18vR5qMwAlAHZXE2B5mVCW
