Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Musik Non Stop - Spotify Singles","Felicia Takman","Musik Non Stop - Spotify Singles","Swedish","Playlist","SEUM72200631","6SNLVpwJXem00Ku9XizbPA"
"Sthlm","Adam Chiapponi","Sthlm - Single","Swedish","Playlist","SE3OH1508649","3BshhvY42v50O21xIgH23N"
"Sitter på en dröm","Oskar Linnros","Sitter på en dröm","Swedish","Playlist","SEUM71601456","3E9ttpd4Btjak9UzcEWYjV"
"O A O A E vi förlorade","Markus Krunegård","O A O A E vi förlorade","Swedish","Playlist","SE5BU1861734","5E2EyhF2z7sNFjemSXNOjO"
"Den sista sången","kent","Då Som Nu För Alltid","Swedish","Playlist","SEBMC1600011","0C0AlZKEPGUzpePvzqwkxP"
"Fuldans","Fulkultur","Fuldans","Swedish","Playlist","SE2GI1000101","0F2lR2lRl4EkSoSvF5RUW0"
"tystnar i luren","Miriam Bryant","tystnar i luren","Swedish","Playlist","SE5EM2000701","4dxeRrYgeAQ1F0uH9g04lN"
"Boten Anna - Radio edit","Basshunter","LOL (2008 yellow bonus version/no videos_France)","Swedish","Playlist","SEPQA0650723","4rino0wsmUcK36Ro4CCrke"
"Ta mig tillbaka","Darin","Fjärilar i magen","Swedish","Playlist","SE4H41500101","6qjYBkoKcMRjQkVfwDU2Te"
"Dansbandstechno","Dunderpatrullen","Dansbandstechno","Swedish","Playlist","QMPKX1700344","7EbG6CU8aFnE631dQOcMiV"
"Pengar","Fulkultur","Masshypnos","Swedish","Playlist","SE2GI1100102","2cWf0CjmnRjRz1Q06gSXts"
"Äckligt","Ansiktet","#DENNYARNBMANNEN","Swedish","Playlist","SEUM71300408","1UKtiT6LpuzDd29zAkztXU"
"Ser du månen där du är ikväll? (Tillsammans igen)","Thomas Stenström","Ser du månen där du är ikväll? (Tillsammans igen)","Swedish","Playlist","SEBGA2001461","4SLYrBfzgbLmiEdoKajyHL"
"Längesen (feat. Veronica Maggio)","Petter","Samlar ut den","Swedish","Playlist","SEVLE1000104","5VkQnKKveR6C7MngcsoZ6P"
"Komplicerad","Miss Li","Underbart i all misär","Swedish","Playlist","SE5HK2000139","4QKscNaTs47Zv3QV9o62yX"
"Trakten min","Yasin","Allstars","Swedish","Playlist","SEBGA1601482","2HuMRW4PILLHwRb21oUhdO"
"Se på mig nu (feat. Linnea Henriksson) - Singelversion","Petter","Skeppsholmen","Swedish","Playlist","SEBGA1602150","7rklm17yoayxw45lpzv5uv"
"Svag","Victor Leksell","Fånga mig när jag faller","Swedish","Playlist","SEBGA2000001","4SS4YfDAEQG0fZAe1xfgn3"
"Ansvar (feat. Eye N'I)","Petter","Hälsa Stockholm","Swedish","Playlist","SEBGA2202013","01pOAvqEUFkWnm1WnUt02U"
"Lose my mind","Myra Granberg","ANDRA SIDAN ÄR NI KLARA","Swedish","Playlist","SEBGA2100144","5D2ZobLrLLFcPoOWw5YE0e"
"Välkommen in","Veronica Maggio","Satan i gatan","Swedish","Playlist","SEUM71100344","3O56xDyPRTBeiqaijnUA1b"
"Fuldans","Fulkultur","Fuldans","Swedish","Playlist","SE2GI1000101","0F2lR2lRl4EkSoSvF5RUW0"
"tystnar i luren","Miriam Bryant","tystnar i luren","Swedish","Playlist","SE5EM2000701","4dxeRrYgeAQ1F0uH9g04lN"
"Boten Anna - Radio edit","Basshunter","LOL (2008 yellow bonus version/no videos_France)","Swedish","Playlist","SEPQA0650723","4rino0wsmUcK36Ro4CCrke"
"Ta mig tillbaka","Darin","Fjärilar i magen","Swedish","Playlist","SE4H41500101","6qjYBkoKcMRjQkVfwDU2Te"
"Dansbandstechno","Dunderpatrullen","Dansbandstechno","Swedish","Playlist","QMPKX1700344","7EbG6CU8aFnE631dQOcMiV"
"Pengar","Fulkultur","Masshypnos","Swedish","Playlist","SE2GI1100102","2cWf0CjmnRjRz1Q06gSXts"
"Äckligt","Ansiktet","#DENNYARNBMANNEN","Swedish","Playlist","SEUM71300408","1UKtiT6LpuzDd29zAkztXU"
"Ser du månen där du är ikväll? (Tillsammans igen)","Thomas Stenström","Ser du månen där du är ikväll? (Tillsammans igen)","Swedish","Playlist","SEBGA2001461","4SLYrBfzgbLmiEdoKajyHL"
"Längesen (feat. Veronica Maggio)","Petter","Samlar ut den","Swedish","Playlist","SEVLE1000104","5VkQnKKveR6C7MngcsoZ6P"
"Komplicerad","Miss Li","Underbart i all misär","Swedish","Playlist","SE5HK2000139","4QKscNaTs47Zv3QV9o62yX"
"Trakten min","Yasin","Allstars","Swedish","Playlist","SEBGA1601482","2HuMRW4PILLHwRb21oUhdO"
"Se på mig nu (feat. Linnea Henriksson) - Singelversion","Petter","Skeppsholmen","Swedish","Playlist","SEBGA1602150","7rklm17yoayxw45lpzv5uv"
"Svag","Victor Leksell","Fånga mig när jag faller","Swedish","Playlist","SEBGA2000001","4SS4YfDAEQG0fZAe1xfgn3"
"Ansvar (feat. Eye N'I)","Petter","Hälsa Stockholm","Swedish","Playlist","SEBGA2202013","01pOAvqEUFkWnm1WnUt02U"
"Lose my mind","Myra Granberg","ANDRA SIDAN ÄR NI KLARA","Swedish","Playlist","SEBGA2100144","5D2ZobLrLLFcPoOWw5YE0e"
"Välkommen in","Veronica Maggio","Satan i gatan","Swedish","Playlist","SEUM71100344","3O56xDyPRTBeiqaijnUA1b"
"Sol, vind och vatten","Ted Gärdestad","Ted","Swedish","Playlist","SEAYD9306050","0lwJH1BDr8Z4wfXvi6yC9y"
"Oh, vilken härlig da'","Ted Gärdestad","Ted","Swedish","Playlist","SEAYD7314190","1Taqw1VEHl8Gy9qAZtRLAq"
"Jag lovar","Veronica Maggio","Handen i fickan fast jag bryr mig","Swedish","Playlist","SEUM71301688","72VZdaavE1q0kHihIfr8eh"
"Underbart","Kalle Moraeus","Underbart","Swedish","Playlist","SEBGA0900331","5Tbc2O2q1NCux8F0lYiEo0"
"Visa från Utanmyra","Monica Zetterlund","Monicas Bästa -Svenska klassiker","Swedish","Playlist","SEAZC9214190","2miSCGoSiQ8VYp1yaeOGtM"
"Det kommer aldrig va över för mig","Håkan Hellström","Det kommer aldrig va över för mig","Swedish","Playlist","SEUM71300303","3SjXx3rbNGk8nCho8YEoz5"
"Jag ljuger så bra","Linda Bengtzing","Ingenting att förlora","Swedish","Playlist","SEPQM0610088","4IV8dOSLi26stONnuQg8Kf"
"Ett sista glas","Miriam Bryant","Hisingen och hem igen","Swedish","Playlist","SE3R51500116","1SZDQMXX1FrA97YY7Lt3Fj"
"Säg mig var du står","Carola","Främling 25 år","Swedish","Playlist","SEBMI8350020","32qGFJqweMFsGvsxRKgdjk"
"Kärleksvisan","Sarah Dawn Finer","Winterland","Swedish","Playlist","DKBV71008001","0BpNF9WORyHveiUQbCGtiR"
"Sjumilakliv","Martin Stenmarck","9 sanningar och en lögn","Swedish","Playlist","SEUM70600404","3njweosKzGwLCGi7Mnwo8s"
"Komplicerad","Miss Li","Komplicerad","Swedish","Playlist","SE5HK2000139","29nwG4y9NFmN76yfUfc01d"
"Sergels torg","Veronica Maggio","Handen i fickan fast jag bryr mig","Swedish","Playlist","SEUM71301582","48ubkDBO9GAFRkn3hXFHVt"
"Nöjd? - Radio Version","Veronica Maggio","Vatten och bröd","Swedish","Playlist","SEUM70600227","41zd6KvWRFDlTy7TgYj3lp"
"Vi ska aldrig gå hem","Molly Sandén","DOM SKA VETA","Swedish","Playlist","SEBGA2100591","7iSuirVvJsBXZ95UEd9vQ0"
"Sand","Molly Sandén","Större","Swedish","Playlist","SE4T41800103","7CYKovD8hNKg0w902IASMi"
"Rosa himmel (från ""Störst av allt"")","Molly Sandén","Rosa himmel (från ""Störst av allt"")","Swedish","Playlist","SE4T41900102","3xkGJKpWrn1n6Bk2m84bJP"
"Rygg mot rygg","Molly Sandén","Större","Swedish","Playlist","SE4T41700101","2CtulN3uMMD4YOyGSjuYP4"
"Allt du gör och att du finns","Mares","Allt du gör och att du finns","Swedish","Playlist","SEWGI1509001","1esiASrlFXBkqzPZVswYNM"
"Gift","Hov1","Hov1","Swedish","Playlist","SEUM71700222","2NHAh9RwSCEwDo9jHeeQbp"
"Oss","RMK & Toppen","Oss","Swedish","Playlist","SEPQA1600286","5sIv5un0PeN7xriCGEn3rq"
"Spontanitet","Kaliffa","Spontanitet","Swedish","Playlist","SEUM71500697","6MdKTNPEDaD8HLRSyRISAd"
"Från och med Du","Oskar Linnros","Vilja Bli","Swedish","Playlist","SEUM71000245","6sjGsKuInpaK3uoaWGe22W"
"Satellit","Ted Gärdestad","Blue Virgin Isles","Swedish","Playlist","SEAYD9306140","10AwlsmVEASSiWORkKcgRo"
"Längesen (feat. Veronica Maggio) - Kyaal Remix","Petter","Krafter","Swedish","Playlist","SEUM71100549","6piWnVkzaYenWppYl1Rgsz"
"Se Mig","Adrijana","Se Mig","Swedish","Playlist","SEUM71800384","1ATzLFC8bfoi6rRtkUCKrc"
"Space","Parham","Torsken","Swedish","Playlist","SE3SA1702701","6DAGtQbqGoVPy1zJ7D4Dsk"
"Tappat","Victor Leksell","Fånga mig när jag faller","Swedish","Playlist","SEBGA1803041","6pgZeXZxdJM8uG7DB52SPj"
"Över dig","Newkid","MOUNT JHUN","Swedish","Playlist","SEBGA2000126","0yMqsfOKzzKnUqPtsSmwVy"
"Genom Eld & Vatten","Sarek","Genom Eld & Vatten","Swedish","Playlist","SEMDA0300903","4wLWZx74WHOosQq5p8VVkL"
"Eiffeltornet","Ted Gärdestad","Upptåg (Remastered 2009)","Swedish","Playlist","SEAYD9304030","1bqIqDtDl9BJYKwppd9bbK"
"Här kommer alla känslorna (på en och samma gång)","Per Gessle","Mazarin","Swedish","Playlist","SEVWA0301011","3dyHvTXrfU6wZbuxl6h3H3"
"Tommy tycker om mig","Carola","Steg För Steg","Swedish","Playlist","SEBMI8411010","63vK4u4uKwRD9KVJ5nHc46"
"Sommaren i City","Angel","Äventyr i natten","Swedish","Playlist","SEAZG9201010","4XoOCFKvikhwp0UcpBwJsO"
"(Du är så) Yeah Yeah, Wow Wow","Martin","En helt vanlig Svensson","Swedish","Playlist","SEBLM9826060","7fsWDVy88i6gznoQtlbOio"
"Vill ha dej","Style","12 Bästa","Swedish","Playlist","SEBMA8067090","1gprScNuzOM4pOQuE2VQk7"
"När vindarna viskar mitt namn","Roger Pontare","I vargens spår","Swedish","Playlist","SEANF0000201","6NfqYh7rujA0HOLhYhJTSJ"
"Det gör ont","Lena Philipsson","Det gör ont en stund på natten men inget på dan","Swedish","Playlist","SEBGA0403010","51md9KzX92LQh84mUsaPPD"
"Stockholm i mitt hjärta","Lasse Berghagen","Sträck ut din hand","Swedish","Playlist","SEAOF0500057","234PnxGS83ve7Rqzdytp8p"
"Känn ingen sorg för mig Göteborg","Håkan Hellström","Känn ingen sorg för mig Göteborg","Swedish","Playlist","SEBIA0005010","2yz5IaQLnO8WBCIWMXoRBS"
"Miss Decibel","Medina","Sista minuten","Swedish","Playlist","SEXVP1300104","1DLgyG3oqFB1pZacMOsdLB"
"Om","Niklas Strömstedt","Om","Swedish","Playlist","SEPQA9041010","3tgDP0BTRP10i4HkLlAER3"
"Min kärlek","Shirley Clamp","Den långsamma blomman","Swedish","Playlist","SEPEL0401301","5dpkOqj8pVFn3nS8OvMJNG"
"Du gamla, du fria","Traditional","Swedish Highlights","Swedish","Playlist","SEAGA8611080","3qZGesA0G1rGjZTrpJZ5PD"
"Värsta schlagern - Radio Version","Markoolio","Värsta Plattan","Swedish","Playlist","SEBMA0600056","05B2RicVswcCU2To7wPVtw"
"Sanna vänner","Carola","Personligt","Swedish","Playlist","SEBMI9425100","5AGXO3iao804D7WuOm0Lyl"
"Vill ha dig","Freestyle","Guldkorn Den Kompletta Samlingen","Swedish","Playlist","SEPQD9821050","1ecJdAizaDklfgCVtEUQsG"
"Längesen (feat. Veronica Maggio) - Kyaal Remix","Petter","Längesen (feat. Veronica Maggio)","Swedish","Playlist","SEUM71100549","6x5RzkzGxbLnpXw3ySyJOx"
"Nu är det påsk","Old No.7 Band","Påsklåtar","Swedish","Playlist","TCACT1696590","13FslMU4Ow0Yx7OxrsEafQ"
"Blåkullavisan","Old No.7 Band","Påsklåtar","Swedish","Playlist","TCACT1696584","2ljkczomS1XuVs1IGfY5wQ"
"Tillfälligheter","Veronica Maggio","Fiender är tråkigt","Swedish","Playlist","SEUM71900174","0rBj6lYQUMHwTJ33sdj6Qz"
"Come Give Me Love","Ted Gärdestad","Ted","Swedish","Playlist","SEAYD7302040","1eu3GSrsyUxWMmEKgC4Xr5"
"En kväll i juni","Lasse Berghagen","20 av Lars Berghagens bästa","Swedish","Playlist","SEAZG8624020","6xYeTISkTw4S9K9hJgr1KJ"
"Cara mia","Måns Zelmerlöw","Stand By For...","Swedish","Playlist","SEPQA0651419","4vxn2p4GbiFhnVsIASACrf"
"Fantasi","Freestyle","Fantasi","Swedish","Playlist","SEPQD9821160","4vWPVWeyKZn1DSMmdbnWBq"
"Leva livet","Lill-Babs","40-Bästa","Swedish","Playlist","SEAZA6318120","6htE3RapzBlVxx2DVddjm9"
"Kom","Timoteij","Längtan","Swedish","Playlist","SEPEL1000701","52iMLtr3V7EenocLKoZZ2X"
"Never Let It Go","Afro-Dite","Never Let It Go","Swedish","Playlist","SEPQM0610668","28ihA2Fp5zRmcmi8hpfWiC"
"Eloise","Arvingarna","Eloise","Swedish","Playlist","SE4WJ1500201","4QZ6hp2CKRaZG5RI9zXQqg"
"Mickey","Carola","Främling 25 år","Swedish","Playlist","SEBMI8350070","2pLKsJoxz6zX27lIHuAXyj"
"Evighet","Carola","Från nu till evighet","Swedish","Playlist","SEUM70600107","6XGIQNU8VmOBRIdL5OBYKp"
"Alla flickor","Linda Bengtzing","Ingenting att förlora","Swedish","Playlist","SEPQM0610092","6YGqMb6MmqcwIHaDSCA7Nq"
"Ingen sommar utan reggae","Markoolio","Värsta Plattan","Swedish","Playlist","SEBMA0700023","5YuLlTsWYK9uslUdGM83dJ"
"Bra vibrationer","Kikki Danielsson","Bra vibrationer","Swedish","Playlist","SEPQM0611410","0FSlaiuv4eBrrjz05jpxz6"
"Han jobbar i affär","Lena Philipsson","Jag ångrar ingenting","Swedish","Playlist","SEBMC0500076","1VXM7D9kvIm1onyLT2cVRo"
"Hej Sofia","Benjamin","Jag är en astronaut","Swedish","Playlist","SEVFN0601102","66nntYnGINU0erjcXth4Kf"
"Jag vill ha en egen måne","Ted Gärdestad","Undringar","Swedish","Playlist","SEAYD7121120","4LqNNFPl9lfT5deIQiRPwI"
"Var ligger landet där man böjer bananerna","Mojje","Barnvakt","Swedish","Playlist","SEWDL6142390","5d6aSlJ9GcgwBCIWjevHlH"
"ABC","Anna Book","Killsnack","Swedish","Playlist","SEBGA1600669","47KyjSYbTBolLgz8HNFXz5"
"E det fel på mej","Linda Bengtzing","E det fel på mej","Swedish","Playlist","SEPQA1000628","3Xu7jqTBv5dpYAWIjPwit1"
"Sensuella Isabella","Tomas Ledin","40 år 40 hits ett samlingsalbum 1972 - 2012","Swedish","Playlist","SEUM71200566","3gix2z7XVD0siCCBf37A4X"
